pattern_id	name	proposed_existing_experiment	overlap_type	primary_gap_owner	routing_allowed	experiment_contract_path	proposal_path	contract_sha256	objective_overlap	input_overlap	output_overlap	permission_overlap	non_goal_conflict	evidence_strength	reviewer_notes
PAT-021	Context Pack	MAD-SKILL-001	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	sandbox/skill-incubator/experiments/MAD-SKILL-001/proposal.md	675277480067539744992f74280b2caa56f553fff69ce833df5df123aa512fe2	partial	partial	partial	aligned	none	moderate	A project map does not define reusable context-pack lifecycle.
PAT-022	Repo Cartographer	MAD-SKILL-001	full	MAD-SKILL-001	true	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	sandbox/skill-incubator/experiments/MAD-SKILL-001/proposal.md	675277480067539744992f74280b2caa56f553fff69ce833df5df123aa512fe2	aligned	aligned	aligned	aligned	none	strong	Suggestion only; the locked target remains non-executable without customer approval.
PAT-023	Test Pilot	MAD-SKILL-002	full	MAD-SKILL-002	true	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	aligned	aligned	aligned	aligned	none	strong	Suggestion only; the locked target remains non-executable without customer approval.
PAT-024	Debug Radar	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No debugging workflow is defined.
PAT-025	Refactor Lens	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No refactor analysis or decision criteria are defined.
PAT-026	API Stitcher	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No integration design evidence is defined.
PAT-027	Migration Buddy	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No migration sequencing or compatibility decisions are defined.
PAT-028	Docs Whisperer	MAD-SKILL-011	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	partial	partial	partial	aligned	none	moderate	Document provenance is candidate-only.
PAT-029	Prompt Harness	MAD-SKILL-002	full	MAD-SKILL-002	true	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	aligned	aligned	aligned	aligned	none	strong	Suggestion only; the locked target remains non-executable without customer approval.
PAT-030	Ship Checklist	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No release disposition model is defined.
PAT-031	Planning with Files	MAD-SKILL-003	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	sandbox/skill-incubator/experiments/MAD-SKILL-003/proposal.md	c8429190812542fada3fb531c6404c032afa65b409fa3d3c3efa913035568f7e	partial	partial	partial	aligned	none	moderate	No planning-file lifecycle is defined.
PAT-032	Superpowers	MAD-SKILL-008	full	MAD-SKILL-008	true	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	sandbox/skill-incubator/experiments/MAD-SKILL-008/proposal.md	fe07f5d52267614b03b172aaacf2c55e1f1ac32e4cd061db0333a09402f0cf6c	aligned	aligned	aligned	aligned	none	strong	Suggestion only; source claims are unverified and the locked target remains non-executable.
PAT-033	Code Review	MAD-SKILL-005	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	sandbox/skill-incubator/experiments/MAD-SKILL-005/proposal.md	922f229df1f85a6dc1ddf8ed61ad19e3f18b4a741972de4c10c422517fd2a37d	partial	partial	partial	aligned	none	moderate	Role separation does not create code-review implementation.
PAT-034	Webapp Testing	MAD-SKILL-010	partial	MAD-SKILL-013-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	sandbox/skill-incubator/experiments/MAD-SKILL-010/proposal.md	1dc16a41a72cc14c0bf454639df105fa8e825d35df98657f2c4b473a7ce13850	partial	partial	partial	aligned	none	weak	Browser QA remains candidate-only and cannot route.
PAT-035	Code Simplifier	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	No simplification quality criteria are defined.
PAT-036	UI UX Pro Max		none	rejected_pending_verification	false	not_applicable	candidate-intake/source-candidates.json	not_applicable	none	none	none	none	none	insufficient	No reliable source identity or safe scope exists.
PAT-037	MCP Builder		adjacent	separate-skill	false	not_applicable	candidate-intake/source-candidates.json	not_applicable	adjacent	adjacent	adjacent	conflict	contains high-privilege registration	weak	MCP registration stays outside core and needs its own approval contract.
PAT-038	Ralph Loop	MAD-SKILL-005	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	sandbox/skill-incubator/experiments/MAD-SKILL-005/proposal.md	922f229df1f85a6dc1ddf8ed61ad19e3f18b4a741972de4c10c422517fd2a37d	partial	partial	partial	aligned	none	weak	Only pause-and-handoff methodology is relevant.
PAT-039	PPTX	MAD-SKILL-004	partial	separate-skill	false	candidate-intake/base-experiment-contracts/MAD-SKILL-004.json	sandbox/skill-incubator/experiments/MAD-SKILL-004/proposal.md	be98eb8084936ed0a93d1c3b254c9e52ef32816bdc5b2f85b948ba281a5c814c	partial	partial	partial	aligned	none	weak	Renderer execution remains separate-skill.
PAT-040	Skill Creator	MAD-SKILL-008	partial	MAD-SKILL-011	false	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	sandbox/skill-incubator/experiments/MAD-SKILL-008/proposal.md	fe07f5d52267614b03b172aaacf2c55e1f1ac32e4cd061db0333a09402f0cf6c	partial	partial	partial	aligned	none	moderate	Router selection does not create or modify a Skill.
