pattern_id	name	group	classification	capability_family	existing_experiment	overlap_score	overlap_type	primary_gap_owner	catalog_visible	recommendation_eligible	execution_routing_allowed	unique_gap	proposed_action	rationale	evidence_contract	evidence_strength	source_status
PAT-028	Docs Whisperer	advanced_engineering	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	60	partial	unresolved	true	false	false	Document provenance	candidate_new_experiment	The compiler gate does not provide stale-document or release provenance handling.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-029	Prompt Harness	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	90	full		true	false	false	No identified design gap	map_to_existing_experiment	Prompt claims fit the proposal's baseline and real-output evidence contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	strong	customer_provided_unverified
PAT-030	Ship Checklist	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Release readiness decision evidence	candidate_extension	Acceptance evidence is related but a release checklist needs a distinct readiness and disposition model.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-031	Planning with Files	foundation	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-003	60	partial	unresolved	true	false	false	Planning-file lifecycle evidence	candidate_extension	Source-to-skill provenance does not define a persistent planning-file lifecycle.	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	moderate	verification_blocked
PAT-032	Superpowers	foundation	customer_provided_capability_pattern	FAMILY-001	MAD-SKILL-008	75	full		true	false	false	No identified design gap	map_to_existing_experiment	The router proposal covers recommendation-only selection and progressive disclosure; source claims remain unverified.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	strong	verification_blocked
PAT-033	Code Review	foundation	customer_provided_capability_pattern	FAMILY-005	MAD-SKILL-005	55	partial	unresolved	true	false	false	Review-specific evidence and disposition	candidate_extension	Control-plane role separation does not create a code-review implementation or approval tier.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	moderate	ambiguous_source
PAT-034	Webapp Testing	foundation	customer_provided_capability_pattern	FAMILY-006	MAD-SKILL-010	55	partial	unresolved	true	false	false	Browser and visual QA gate	candidate_new_experiment	A demonstration boundary is not a browser testing implementation.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-035	Code Simplifier	foundation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Simplification decision evidence	candidate_extension	The contract harness can verify results but does not define simplification quality criteria.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-036	UI UX Pro Max	foundation	customer_provided_capability_pattern	FAMILY-006		0	none	unresolved	true	false	false	Verified source and safe design boundary	rejected_pending_verification	No reliable source identity or design scope is established.	not_applicable	insufficient	ambiguous_source
PAT-037	MCP Builder	foundation	customer_provided_capability_pattern	FAMILY-009		20	adjacent	separate-skill	true	false	false	Explicit registration contract	separate_skill	MCP registration and external access require an independent high-risk approval boundary.	not_applicable	weak	ambiguous_source
PAT-038	Ralph Loop	foundation	customer_provided_capability_pattern	FAMILY-005	MAD-SKILL-005	50	partial	unresolved	true	false	false	Verified source and bounded loop semantics	candidate_extension	Only a pause-and-handoff concept is relevant; the source is ambiguous and no loop runtime is authorized.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	weak	ambiguous_source
PAT-039	PPTX	foundation	customer_provided_capability_pattern	FAMILY-007	MAD-SKILL-004	45	partial	separate-skill	true	false	false	Artifact renderer execution	separate_skill	Planning and render separation does not provide a presentation-generation runtime.	candidate-intake/base-experiment-contracts/MAD-SKILL-004.json	weak	ambiguous_source
PAT-040	Skill Creator	foundation	customer_provided_capability_pattern	FAMILY-001	MAD-SKILL-008	55	partial	unresolved	true	false	false	Skill authoring evidence package	candidate_extension	Routing and progressive disclosure do not create or modify a Skill.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	moderate	customer_provided_unverified
